 Shannon T 	  My family loved it! My 8-year-old is now completely obsessed with Batman Legos!
 Terry M 	  Loved the movie. Well written, funny, well acted. A lot of the billionaire selfishness at the beginning reminded me of our #SCROTUS although I don't think he will have a reckoning like Batman did in the movie. I was annoyed as the credits rolled to learn that the movie was Executive Produced and therefore partially financed by Steven Mnuchin. Upon reading his long list of movies he has Executive Produced starting with American Sniper it is hard to #GrabYourWallet and avoid paying into something that has profited from throwing people out of their homes when they are so widely invested. Good Movie made me feel bad now. #NotMyPresident
 Drew M 	  4 Stars. It's incredibly well made and Will Arnett is the perfect choice to voice Batman. The humor of the film didn't do much for me unfortunately though. Maybe I'm a little dead inside? Still incredibly well done film and is very much worth the watch.
 Vicki L 	  So very funny. Fantastic c fun
 Alika T 	  It was cute.. Wasn't as funny as I thought it was going to be. But it was entertaining.
 Brian M 	  Kids liked it but the story stunk to keep this 40 year olds attention. Arnett was funny and great references to previous batmen.
 Jared B 	  Fast, fun, and silly, The LEGO Batman movie celebrates and makes fun of him at the same time.
 Glenn G 	  A CHIP OFF THE OLD BRICK - My Review of THE LEGO BATMAN MOVIE (3 Stars)The script for THE LEGO MOVIE contained more wit per moment than all of the episodes of 30 ROCK and THE UNBREAKABLE KIMMY SCHMIDT combined, but the busy backgrounds made my eyeballs bleed into my popcorn. Alas, we'll always have "Everything Is Awesome" from it, but needless to say, I had no desire to have another seizure-inducing experience when I heard of this spinoff, but I was a sucker for Will Arnett's performance as Batman, especially his hilarious reading of THE LAST OF THE MOHICANS-style line, "I will text you!" I'm glad I went to see THE LEGO BATMAN MOVIE, because the filmmakers learned a thing or two from the first to produce a hilarious, ridiculously self-conscious and overly referential piece of comedy that streamlined its set design so that its main characters would pop out more. It's not quite as funny, but it's much more watchable. It's a trade-off I can live with, especially with Arnett front and center. Starting with an opening voiceover that tries to top the credits from DEADPOOL (let's face it, DEADPOOL will always win this battle), THE LEGO BATMAN MOVIE centers on our rich superhero narcissist as he tries to save Gotham City from the Joker (Zach Galifianakis) and virtually every other criminal, while trying to raise his adopted Boy Wonder, Robin (Michael Cera). If only he could stop thinking about himself long enough to save the world from nuclear annihilation. The jokes come thick and fast, with director Chris McKay and pretty much every studio screenwriter in Hollywood hitting their marks roughly 70% of the time. That's not a bad average when you get a joke thrown at you literally every 3 seconds. Although filled with giant action set pieces and explosions, some of my favorite bits involved extremely simple setups. I savored watching Batman stand in front of a microwave waiting for his meal to heat up as we wait almost the entire 2 minutes with him. It's random and dopey, but a well-timed laugh nonetheless. Some of the voiceover actors do better than others with Arnett taking the prize with his low monotone growl lending importance to everything regardless of its value. Ralph Fiennes mades a delightfully droll Alfred, clearly expanding on comic chops he showed off so well in THE GRAND BUDAPEST HOTEL and HAIL, CAESAR! I enjoyed Mariah Carey's work as the Mayor as she brings a little Debi Mazar flavor to the proceedings. I wish Jenny Slate as Harley Quinn (and Galifianakis) had brought more to the table, but it's tough to outdo Margot Robbie from the otherwise execrable SUICIDE SQUAD. Ultimately, THE LEGO BATMAN MOVIE will make you laugh, but it's so much a part of our disposable pop culture, that I forgot almost all of it the minute I left the theater. I think of a stop motion classic like TEAM AMERICA and can still recall the hilarious sex scene, the over-the-top screaming by Kim Jong Il and the song "America F*ck Yeah". Think of THE LEGO BATMAN MOVIE as a good time killer and nothing more.
 ryan g 	  its ok it had it funny monetes its ok like
 Robert B 	  Once again, the animation is superb. A few good laughs and DC jokes. Just like the lego movie, i felt at times they pushed too much but overall a great movie
 Michelle C 	  It was a bit too long, it tried a bit too hard to be funny, and it wasn't all that interesting animation wise. Every now and again there would be a witty one-liner to enjoy, which gave it the extra half star.
 Alan J 	  It's a continuation from the witty one-liner Batman in The Lego Movie, but with a complimentary supporting cast of Robin, Alfred and Co. What this film does best is recognise exactly what it is by identifying the flawsn of (both positive and negative) the title character and letting the plot drive the humour around these well made points in Batman history. A very well crafted addition to the Lego franchise.
 Chris C 	  Not quite everything is awesome, but very fun and entertaining. A notch below the Lego Movie in terms of humor and quality.
